"","Branches","Junctions","End_points_Voxels","Junction_Voxels","Slab_Voxels","Average_Branch_Length","Triple_Points","Quadruple_Points","Maximum_Branch_Length","replicate","Group","Batch","sample"
"32636",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32637",5,2,4,2,17,4.953,2,0,13.755,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32638",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32639",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32640",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32641",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32642",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32643",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32644",1,0,2,0,0,1.364,0,0,1.364,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32645",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32646",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32647",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32648",12,5,8,8,67,7.647,4,1,16.293,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32649",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32650",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32651",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32652",13,6,6,10,50,5.479,4,2,19.151,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32653",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32654",1,0,2,0,0,1.364,0,0,1.364,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32655",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32656",1,0,2,0,3,4.258,0,0,4.258,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32657",3,1,3,1,9,5.198,1,0,9.576,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32658",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32659",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32660",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32661",1,0,2,0,0,1.364,0,0,1.364,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32662",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32663",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32664",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32665",1,0,2,0,0,0.965,0,0,0.965,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32666",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32667",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32668",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32669",0,0,1,0,0,0,0,0,0,"E5_PC_F3","Control",1,"797.1_E5_Control"
"32670",10,4,6,6,35,4.92,2,2,13.093,"E5_PC_F3","Control",1,"797.1_E5_Control"
